a,b,c
-0.73,0.5,-1
0.6,0.48,1
-0.17,-0.15,1
-0.45,0.45,-1
0.14,-0.8,1
-0.77,0.1,1
0.29,0.41,1
0.35,-0.78,1
-0.54,0.63,1
0.94,0.59,-1
-0.05,-0.41,1
-0.42,-0.01,1
-0.97,-0.73,-1
-0.38,-0.26,1
-0.83,0.75,-1
-0.08,0.33,1
-0.93,-0.17,1
0.31,-0.47,1
0.68,-0.93,-1
-0.17,0.54,1
0.25,0.68,1
0.02,0.71,-1
-0.95,0.21,-1
-0.27,-0.76,-1
-0.57,-0.29,1
-0.91,-0.9,1
-0.46,-0.3,1
-0.92,-0.2,1
-0.67,0.5,-1
-0.77,0.08,1
0.79,0.6,-1
-0.36,0.19,1
-0.07,-0.47,1
-0.77,0.7,1
0.61,-0.53,1
0.18,-0.2,1
-0.33,-0.11,1
-0.6,0.97,1
0.11,0.18,-1
-0.52,0.92,1
0.49,-0.54,1
0.09,0.8,1
0.86,0.27,1
0.65,0.61,-1
0.6,-0.08,1
-0.38,-0.61,-1
-0.83,-0.97,1
-0.93,-0.32,-1
0.87,-0.81,1
-0.61,-0.97,1
0.67,0.53,1
0.1,0.71,-1
0.32,-0.02,-1
0.65,0.9,-1
0.5,-0.86,1
0.48,0.95,1
0.11,-0.48,1
-0.03,0.39,1
-0.61,0.22,1
-0.92,-0.2,-1
-0.14,-0.97,1
-0.87,0.83,1
-0.55,-0.35,1
0.87,-0.85,1
0.11,-0.34,-1
0.72,-0.04,1
-0.11,0.58,1
-0.17,-0.55,-1
0.69,-0.75,1
-0.48,-0.23,1
-0.82,0.58,-1
-0.32,0.06,-1
0.37,-0.71,1
-0.56,0.85,1
-0.04,0.87,1
-0.37,0.87,1
-0.67,-0.08,-1
0.07,-0.34,1
-0.29,0.09,1
-0.58,0.8,1
-0.84,0.84,1
1,0.05,1
-0.31,-0.84,1
0.86,0.7,1
-0.22,0.63,-1
-0.88,0.87,1
0.84,-0.56,1
0.9,0.77,1
0.39,0.93,1
-0.37,-0.35,-1
-0.32,0.6,1
0.5,0.43,1
0.91,-0.67,1
0.7,0.66,1
-0.58,0.71,1
0.01,-0.8,1
-0.2,0,1
0.05,-0.18,1
0.33,0.71,1
-0.3,-0.41,1
0.2,0.6,1
-0.9,-0.45,1
-0.35,-0.41,1
-0.98,-0.88,1
0.38,-0.63,1
0.45,0.85,-1
0.43,-0.03,1
0.4,-0.71,-1
-0.24,-0.89,1
0.55,-0.03,1
0.74,-0.1,1
-0.51,-0.24,1
-0.84,0.95,-1
0.39,-0.3,1
-0.48,0.08,-1
0.56,0.34,1
0.93,0.46,1
